No Intervention,School Closure,Intense Lockdown,Relax Intervention 1,Relax Intervention 2,Relax Intervention 3,Lockdown Level 2,Lockdown Level 3,Lockdown Level 5,Pre-christmas Level 3,Holiday period,After-christmas Level 5
1.639470404,2.103764989,0.178809879,0.007316461,0.127634037,0.500408746,0.409366223,0.449337408,0.092932287,1.071636715,0.916561259,0.090638817
1.426465852,2.26535487,0.170151398,0.003580168,0.1637751,0.481850766,0.492718674,0.384590615,0.128371526,1.008521683,0.767239364,0.031577435
1.430805106,2.251077184,0.156196619,0.004731882,0.219952624,0.442216684,0.569420142,0.355345688,0.13304253,0.981612207,0.758850795,0.02601196
2.31521332,1.683828881,0.164547058,0.001597504,0.259833111,0.388317724,0.547601254,0.390251063,0.083804364,1.444247996,0.735512259,0.008530819
1.467551827,2.201951791,0.163737055,0.004149837,0.188344734,0.518957184,0.374137617,0.469997891,0.092067932,1.179444677,0.64596879,0.163994945
1.359876182,2.220958002,0.185146796,0.004636952,0.134390258,0.491342074,0.441465993,0.434129847,0.110459591,0.925470827,0.879977368,0.021429296
1.394204035,2.286046258,0.170073323,0.000567546,0.200879636,0.471521279,0.418484729,0.429089361,0.134652651,0.960469984,0.694798873,0.079857175
1.561110057,2.147814872,0.159696885,0.0045431,0.224676205,0.443950278,0.536216221,0.377159589,0.125593782,1.000391541,0.860852288,0.006995618
1.073950778,2.399165021,0.189316119,0.000464757,0.13489199,0.501243095,0.459745531,0.421690667,0.101197952,1.10103876,0.796518061,0.048671902
1.197418579,2.37877496,0.175816091,0.007610183,0.168407058,0.450862261,0.539306745,0.386278675,0.117090687,0.936206941,0.994331329,0.003795739
1.294868807,2.384418844,0.159195449,0.001263764,0.19882665,0.489596582,0.481205297,0.372562766,0.131392297,0.941822411,0.792637902,0.123056471
1.63793596,1.916295269,0.181393513,0.005850509,0.212247627,0.449186669,0.498448031,0.389084525,0.127523011,0.920875991,0.966967709,0.004760339
1.041069729,2.641548395,0.148733344,0.000227451,0.233281592,0.472211459,0.434837844,0.447457406,0.096482936,1.227021534,0.862855887,0.002037487
0.969025815,2.555327721,0.196509932,0.002225763,0.189129056,0.408400211,0.599016558,0.315641321,0.124095865,1.233668189,0.797747005,0.001218512
1.220672458,2.316433574,0.186611574,0.002037731,0.201143231,0.445652108,0.509463066,0.338418729,0.155516752,0.912435947,0.910482717,0.026568831
1.610048268,2.110062117,0.165584549,0.000660024,0.097669925,0.540693382,0.461863027,0.398175334,0.11981201,1.017296569,0.798291631,0.06821105
1.986996733,1.733203106,0.173706067,0.003115963,0.177663955,0.524464856,0.402798385,0.385944501,0.141798643,0.906288604,0.788130023,0.040376879
1.109897019,2.48412965,0.167023951,0.004294956,0.110158973,0.540321568,0.441146494,0.403393609,0.111360439,1.172498028,0.593242225,0.022256371
1.718501685,2.068606462,0.151729074,0.016312862,0.157207047,0.526630753,0.423958063,0.405841805,0.117932541,0.9412258,1.056065946,0.005699079
1.420371784,2.234790246,0.162375209,0.003057607,0.279193821,0.42281189,0.440804785,0.459468527,0.075642103,1.467405421,0.652211447,0.012802536
1.048496953,2.415811347,0.208578562,0.003098016,0.155555943,0.45298784,0.494836038,0.395901443,0.085567294,1.287744991,0.771928528,0.001545355
1.413368087,2.070184472,0.202014603,0.009788261,0.16118762,0.467167742,0.452534747,0.418281484,0.072492047,1.37967434,0.722653565,0.0093271
1.789621306,1.822552859,0.18887187,0.003361301,0.110414751,0.495175267,0.504148917,0.414311325,0.095964345,1.06348215,0.864490631,0.039115304
2.476103832,1.388135495,0.187128063,6.06E-10,0.198946456,0.438754401,0.555962659,0.333561889,0.115229791,1.220855116,0.761912295,0.000163627
1.001941633,2.372782347,0.205222893,0.001137121,0.245985509,0.432327491,0.473409725,0.419404498,0.093001395,1.203885988,0.722607437,0.001599114
1.410872303,2.266472932,0.170157959,0.001832789,0.149244448,0.492664115,0.481507479,0.416913507,0.116203063,0.950882425,0.819644795,0.048001817
1.298969926,2.284850534,0.172000183,0.004762884,0.282973421,0.40483545,0.47659459,0.425626437,0.130296604,0.845126997,1.038436214,0.006356799
1.481471667,2.184814782,0.167994856,0.004380083,0.209150232,0.468805107,0.423365342,0.43419983,0.118404337,1.146741213,0.666385071,0.01039565
1.317197337,2.070102386,0.208395468,0.003016376,0.163361733,0.470707762,0.452470718,0.383242396,0.15800865,1.019001576,0.713652897,0.017257267
1.09137956,2.45182621,0.16917314,0.004193302,0.21646917,0.485195933,0.441946926,0.392090858,0.151100213,0.865226997,0.969312173,0.011595155
1.357177386,2.162980672,0.170075918,0.004879237,0.229243158,0.491266669,0.381338779,0.463675016,0.096793605,1.166273668,0.738345417,0.015646876
1.388932086,2.392885165,0.151000978,0.00355648,0.227809635,0.464136832,0.470660343,0.41716096,0.130975947,0.933225874,0.794720272,0.024204939
1.278688744,2.410616379,0.166377729,0.00090847,0.237613821,0.422906768,0.536841653,0.391001832,0.114304921,1.006783897,0.833064327,0.097112828
1.424911058,2.212191549,0.176176655,0.003853001,0.181266213,0.466831686,0.433459396,0.409603776,0.139556822,1.041425446,0.746495363,0.060528546
1.37745288,2.232253432,0.162056021,0.002501933,0.257477185,0.447424425,0.495056034,0.391310873,0.104049248,1.194280468,0.64160151,0.084915978
1.342750113,2.222418709,0.182633816,0.004780624,0.163474038,0.474325779,0.480015983,0.380802157,0.105458145,1.01094213,0.993526745,0.054673956
0.770567625,2.784675129,0.182774376,0.008315555,0.170041938,0.475504788,0.441264803,0.394526247,0.174753096,0.706105542,1.096883979,0.010764329
1.351065663,2.139556167,0.185510681,0.003823434,0.148669561,0.508779796,0.456697062,0.406931902,0.122372336,0.901867034,0.961897765,0.023598163
1.098206144,2.414109204,0.169126764,0.002152172,0.1670363,0.489710963,0.477028044,0.425672316,0.084824036,1.037858947,0.910693325,0.1126576
1.48836234,2.159124667,0.175224641,0.003098847,0.160219923,0.450814792,0.546037192,0.404345385,0.070245103,1.380634316,0.599995361,0.016202109
1.348303518,1.993317012,0.199839457,0.001877951,0.160218554,0.512216071,0.448378492,0.386566015,0.14613694,0.857931619,0.821560997,0.084119282
1.590876011,2.044330894,0.177639893,0.003607876,0.215220644,0.449293036,0.464963069,0.403453955,0.104298367,1.125601725,0.708731254,0.016428084
1.306738477,2.161998162,0.199577121,0.003093831,0.137887653,0.486878882,0.457654417,0.387323003,0.118880074,0.979429375,0.909626803,0.018761224
1.396735126,2.199502556,0.170842589,0.019176146,0.183429481,0.464167453,0.480125281,0.40376659,0.116128591,1.188211869,0.668160641,0.001805979
1.599274953,2.129882584,0.138994034,0.025332531,0.247315526,0.473204263,0.431420947,0.40559723,0.167843585,0.80281631,0.753898988,0.084117108
