"","estimate","median","lower","upper"
"Scalar1",1.270068,1.34236994998736,0.903577698117302,1.93457001046836
"Scalar2",2.312489,2.24420460295566,1.77692207261873,2.72170750645615
"Scalar3",0.1759046,0.175416942476351,0.147930151992984,0.205442845624211
"Scalar4",0.003455108,0.00391364742502164,0.00039068301648196,0.0209005659120904
"Scalar5",0.1689526,0.187413383308328,0.0996290263432049,0.293196022437102
"Scalar6",0.4848977,0.469745790783107,0.399116376800498,0.546288665808016
"Scalar7",0.4663361,0.470895698186998,0.387712797801944,0.557207205640672
"Scalar8",0.3979857,0.397821493257188,0.339152613677884,0.461938695687187
"Scalar9",0.1183103,0.117136277760453,0.0717776664135463,0.165068714102864
"Scalar10",1.041377,1.04642859450295,0.761317171210996,1.40831352896934
"Scalar11",0.8288638,0.812204659074921,0.589155240540786,1.09857061988246
"Scalar12",0.01479018,0.0158583847343724,0.000473674111302827,0.124101517265167
