No Intervention,School Closure,Intense Lockdown,Relax Intervention 1,Relax Intervention 2,Relax Intervention 3,Lockdown Level 2,Lockdown Level 3,Lockdown Level 5
1.725749389,1.516585008,0.145458335,0.120046914,0.202479945,0.360113338,0.493158391,0.280844447,0.208418762
1.854081108,1.513893695,0.144411872,0.063327349,0.159488993,0.423599013,0.415467577,0.396255177,0.102342808
1.812132512,1.435538977,0.158507461,0.068068064,0.099488284,0.471613391,0.445564881,0.296078767,0.165872686
1.306272792,1.853102731,0.143973285,0.094237254,0.058707485,0.488860767,0.435588529,0.324246294,0.149720539
2.512455012,1.064930766,0.174290106,0.076660808,0.084308358,0.446067917,0.452116271,0.279543258,0.216880905
1.957713854,1.310315004,0.184008742,0.06253124,0.038146501,0.487971779,0.468510014,0.279188567,0.247598781
1.822536739,1.495035592,0.150407763,0.110536805,0.01901199,0.480098396,0.531188876,0.265561017,0.199301597
2.367106169,1.088798634,0.151275518,0.069392838,0.081935978,0.474547913,0.498802116,0.320492902,0.096780005
1.539540548,1.627803889,0.15473396,0.160825522,0.1368162,0.341949288,0.512733052,0.340519563,0.155312645
2.101162491,1.294209775,0.156189083,0.068176732,0.065258133,0.488271983,0.400101557,0.37731076,0.138728774
1.974450393,1.161127322,0.193282629,0.068498836,0.161763977,0.373167002,0.481864425,0.348294466,0.132195883
1.724860143,1.467934895,0.158590748,0.05699884,0.045931337,0.553538412,0.398964913,0.303824077,0.190289905
1.518968481,1.722668093,0.133428187,0.211548246,0.027963619,0.438637929,0.49053815,0.305482224,0.142978179
1.127284737,2.050080686,0.148722507,0.086583772,0.076910869,0.466333094,0.412928701,0.368918267,0.135633529
1.627953146,1.593243178,0.150597639,0.074429981,0.128435119,0.400881614,0.618422982,0.240783575,0.209859556
1.779412459,1.454075787,0.171743811,0.086820716,0.095207209,0.448879138,0.4325139,0.274867875,0.2104775
1.757858578,1.591959662,0.142518083,0.129651968,0.103467838,0.423703996,0.476129033,0.29399634,0.192863992
1.761263843,1.637800816,0.132970433,0.13013425,0.062778536,0.486852032,0.366997589,0.307312757,0.23667738
1.337018024,1.811665767,0.162539061,0.114207912,0.059862959,0.417121475,0.513837257,0.309643744,0.14521814
1.930613281,1.387130708,0.162717605,0.10122328,0.077411473,0.448765866,0.475003856,0.284879571,0.169061524
1.354147152,1.818695191,0.142771117,0.078055041,0.084005995,0.485342606,0.455586882,0.299813034,0.168271875
1.26018142,1.902832918,0.161235553,0.048318299,0.038475794,0.526626805,0.394831089,0.343945226,0.205512147
1.870444513,1.511216555,0.152263295,0.048454798,0.193112804,0.385889566,0.493034362,0.287559866,0.229764884
1.597596992,1.56673821,0.155828027,0.068454638,0.088361297,0.464331414,0.46055871,0.316916826,0.188480113
