"date","state","cases","deaths"
"2020-02-29","Ireland",1,0
"2020-03-01","Ireland",0,0
"2020-03-02","Ireland",0,0
"2020-03-03","Ireland",2,0
"2020-03-04","Ireland",6,0
"2020-03-05","Ireland",13,0
"2020-03-06","Ireland",18,0
"2020-03-07","Ireland",19,0
"2020-03-08","Ireland",21,0
"2020-03-09","Ireland",24,0
"2020-03-10","Ireland",34,0
"2020-03-11","Ireland",43,1
"2020-03-12","Ireland",70,1
"2020-03-13","Ireland",90,1
"2020-03-14","Ireland",129,2
"2020-03-15","Ireland",169,2
"2020-03-16","Ireland",223,2
"2020-03-17","Ireland",292,2
"2020-03-18","Ireland",366,2
"2020-03-19","Ireland",557,3
"2020-03-20","Ireland",683,3
"2020-03-21","Ireland",785,3
"2020-03-22","Ireland",906,4
"2020-03-23","Ireland",1125,6
"2020-03-24","Ireland",1329,7
"2020-03-25","Ireland",1564,9
"2020-03-26","Ireland",1819,19
"2020-03-27","Ireland",2121,22
"2020-03-28","Ireland",2415,36
"2020-03-29","Ireland",2615,46
"2020-03-30","Ireland",2910,54
"2020-03-31","Ireland",3235,71
"2020-04-01","Ireland",3447,85
"2020-04-02","Ireland",3849,98
"2020-04-03","Ireland",4273,120
"2020-04-04","Ireland",4604,137
"2020-04-05","Ireland",4994,158
"2020-04-06","Ireland",5364,174
"2020-04-07","Ireland",5709,210
"2020-04-08","Ireland",6074,235
"2020-04-09","Ireland",6574,263
"2020-04-10","Ireland",7054,287
"2020-04-11","Ireland",8928,320
"2020-04-12","Ireland",9655,334
"2020-04-13","Ireland",10647,365
"2020-04-14","Ireland",11479,406
"2020-04-15","Ireland",12547,444
"2020-04-16","Ireland",13271,486
"2020-04-17","Ireland",13980,530
"2020-04-18","Ireland",14758,571
"2020-04-19","Ireland",15251,610
"2020-04-20","Ireland",15652,687
"2020-04-21","Ireland",16040,730
"2020-04-22","Ireland",16671,769
"2020-04-23","Ireland",17607,794
"2020-04-24","Ireland",18184,1014
"2020-04-25","Ireland",18561,1063
"2020-04-26","Ireland",19262,1087
"2020-04-27","Ireland",19648,1102
"2020-04-28","Ireland",19877,1159
"2020-04-29","Ireland",20253,1190
"2020-04-30","Ireland",20612,1232
"2020-05-01","Ireland",20833,1265
"2020-05-02","Ireland",21176,1286
"2020-05-03","Ireland",21506,1303
"2020-05-04","Ireland",21772,1319
"2020-05-05","Ireland",21983,1339
"2020-05-06","Ireland",22248,1375
"2020-05-07","Ireland",22385,1403
"2020-05-08","Ireland",22541,1429
"2020-05-09","Ireland",22760,1446
"2020-05-10","Ireland",22996,1458
"2020-05-11","Ireland",23135,1467
"2020-05-12","Ireland",23242,1488
"2020-05-13","Ireland",23401,1497
"2020-05-14","Ireland",23827,1506
"2020-05-15","Ireland",23956,1518
"2020-05-16","Ireland",24048,1533
"2020-05-17","Ireland",24112,1543
"2020-05-18","Ireland",24200,1547
"2020-05-19","Ireland",24251,1561
"2020-05-20","Ireland",24315,1571
"2020-05-21","Ireland",24391,1583
"2020-05-22","Ireland",24506,1592
"2020-05-23","Ireland",24582,1604
"2020-05-24","Ireland",24639,1608
"2020-05-25","Ireland",24698,1606
"2020-05-26","Ireland",24735,1615
"2020-05-27","Ireland",24803,1631
"2020-05-28","Ireland",24841,1639
"2020-05-29","Ireland",24876,1645
"2020-05-30","Ireland",24929,1651
"2020-05-31","Ireland",24990,1652
"2020-06-01","Ireland",25062,1650
"2020-06-02","Ireland",25066,1658
"2020-06-03","Ireland",25111,1659
"2020-06-04","Ireland",25142,1664
"2020-06-05","Ireland",25163,1670
"2020-06-06","Ireland",25183,1678
"2020-06-07","Ireland",25201,1679
"2020-06-08","Ireland",25207,1683
"2020-06-09","Ireland",25215,1691
"2020-06-10","Ireland",25231,1695
"2020-06-11","Ireland",25238,1703
"2020-06-12","Ireland",25250,1705
"2020-06-13","Ireland",25295,1705
"2020-06-14","Ireland",25303,1706
"2020-06-15","Ireland",25321,1706
"2020-06-16","Ireland",25334,1709
"2020-06-17","Ireland",25341,1710
"2020-06-18","Ireland",25355,1714
"2020-06-19","Ireland",25368,1714
"2020-06-20","Ireland",25374,1715
"2020-06-21","Ireland",25379,1715
"2020-06-22","Ireland",25383,1717
"2020-06-23","Ireland",25391,1720
"2020-06-24","Ireland",25396,1726
"2020-06-25","Ireland",25405,1727
"2020-06-26","Ireland",25414,1730
"2020-06-27","Ireland",25437,1734
"2020-06-28","Ireland",25438,1735
"2020-06-29","Ireland",25462,1735
"2020-06-30","Ireland",25473,1736
"2020-07-01","Ireland",25477,1738
"2020-07-02","Ireland",25489,1738
"2020-07-03","Ireland",25498,1740
"2020-07-04","Ireland",25509,1741
"2020-07-05","Ireland",25527,1741
"2020-07-06","Ireland",25531,1741
"2020-07-07","Ireland",25538,1742
"2020-07-08","Ireland",25542,1738
"2020-07-09","Ireland",25565,1743
"2020-07-10","Ireland",25589,1744
"2020-07-11","Ireland",25611,1746
"2020-07-12","Ireland",25628,1746
"2020-07-13","Ireland",25638,1746
"2020-07-14","Ireland",25670,1746
"2020-07-15","Ireland",25683,1748
"2020-07-16","Ireland",25698,1749
"2020-07-17","Ireland",25730,1752
"2020-07-18","Ireland",25750,1753
"2020-07-19","Ireland",25760,1753
"2020-07-20","Ireland",25766,1753
"2020-07-21","Ireland",25802,1753
"2020-07-22","Ireland",25819,1754
"2020-07-23","Ireland",25826,1763
"2020-07-24","Ireland",25845,1763
"2020-07-25","Ireland",25869,1764
"2020-07-26","Ireland",25881,1764
"2020-07-27","Ireland",25892,1764
"2020-07-28","Ireland",25929,1764
"2020-07-29","Ireland",25942,1764
"2020-07-30","Ireland",26027,1763
"2020-07-31","Ireland",26065,1763
"2020-08-01","Ireland",26109,1763
"2020-08-02","Ireland",26162,1763
"2020-08-03","Ireland",26208,1763
"2020-08-04","Ireland",26253,1763
"2020-08-05","Ireland",26303,1763
"2020-08-06","Ireland",26372,1768
"2020-08-07","Ireland",26470,1772
"2020-08-08","Ireland",26644,1772
"2020-08-09","Ireland",26712,1772
"2020-08-10","Ireland",26768,1772
"2020-08-11","Ireland",26801,1773
"2020-08-12","Ireland",26838,1774
"2020-08-13","Ireland",26929,1774
"2020-08-14","Ireland",26995,1774
"2020-08-15","Ireland",27191,1774
"2020-08-16","Ireland",27257,1774
"2020-08-17","Ireland",27313,1774
"2020-08-18","Ireland",27499,1775
"2020-08-19","Ireland",27547,1775
"2020-08-20","Ireland",27676,1776
"2020-08-21","Ireland",27755,1776
"2020-08-22","Ireland",27908,1777
"2020-08-23","Ireland",27969,1777
"2020-08-24","Ireland",28116,1777
"2020-08-25","Ireland",28201,1777
"2020-08-26","Ireland",28363,1777
"2020-08-27","Ireland",28453,1777
"2020-08-28","Ireland",28578,1777
"2020-08-29","Ireland",28720,1777
"2020-08-30","Ireland",28760,1777
"2020-08-31","Ireland",28811,1777
"2020-09-01","Ireland",29025,1777
"2020-09-02","Ireland",29114,1777
"2020-09-03","Ireland",29206,1777
"2020-09-04","Ireland",29303,1777
"2020-09-05","Ireland",29534,1777
"2020-09-06","Ireland",29672,1777
"2020-09-07","Ireland",29774,1777
"2020-09-08","Ireland",30080,1778
"2020-09-09","Ireland",30164,1781
"2020-09-10","Ireland",30360,1781
"2020-09-11","Ireland",30571,1781
"2020-09-12","Ireland",30730,1783
"2020-09-13","Ireland",30985,1784
"2020-09-14","Ireland",31192,1784
"2020-09-15","Ireland",31549,1787
"2020-09-16","Ireland",31799,1788
"2020-09-17","Ireland",32023,1789
"2020-09-18","Ireland",32271,1792
"2020-09-19","Ireland",32538,1792
"2020-09-20","Ireland",32933,1792
"2020-09-21","Ireland",33121,1792
"2020-09-22","Ireland",33444,1792
"2020-09-23","Ireland",33675,1794
"2020-09-24","Ireland",33994,1797
"2020-09-25","Ireland",34315,1797
"2020-09-26","Ireland",34560,1802
"2020-09-27","Ireland",34990,1802
"2020-09-28","Ireland",35377,1802
"2020-09-29","Ireland",35740,1803
"2020-09-30","Ireland",36155,1804
"2020-10-01","Ireland",36597,1806
"2020-10-02","Ireland",37063,1801
"2020-10-03","Ireland",37668,1810
"2020-10-04","Ireland",38032,1810
"2020-10-05","Ireland",38549,1810
"2020-10-06","Ireland",38973,1811
"2020-10-07","Ireland",39584,1816
"2020-10-08","Ireland",40086,1817
"2020-10-09","Ireland",40703,1821
"2020-10-10","Ireland",41714,1824
"2020-10-11","Ireland",42528,1826
"2020-10-12","Ireland",43351,1827
"2020-10-13","Ireland",44159,1830
"2020-10-14","Ireland",45243,1835
"2020-10-15","Ireland",46429,1838
"2020-10-16","Ireland",47427,1841
"2020-10-17","Ireland",48678,1849
"2020-10-18","Ireland",49962,1852
"2020-10-19","Ireland",50993,1852
"2020-10-20","Ireland",52256,1865
"2020-10-21","Ireland",53422,1868
"2020-10-22","Ireland",54476,1871
"2020-10-23","Ireland",55261,1878
"2020-10-24","Ireland",56108,1882
"2020-10-25","Ireland",57128,1882
"2020-10-26","Ireland",58067,1885
"2020-10-27","Ireland",58767,1890
"2020-10-28","Ireland",59434,1896
"2020-10-29","Ireland",60297,1902
"2020-10-30","Ireland",61059,1908
"2020-10-31","Ireland",61456,1913
"2020-11-01","Ireland",62002,1915
"2020-11-02","Ireland",62750,1917
"2020-11-03","Ireland",63048,1922
"2020-11-04","Ireland",63483,1930
"2020-11-05","Ireland",64046,1933
"2020-11-06","Ireland",64538,1940
"2020-11-07","Ireland",64855,1945
"2020-11-08","Ireland",65394,1947
"2020-11-09","Ireland",65659,1948
"2020-11-10","Ireland",65889,1963
"2020-11-11","Ireland",66247,1965
"2020-11-12","Ireland",66632,1965
"2020-11-13","Ireland",67099,1972
"2020-11-14","Ireland",67526,1978
"2020-11-15","Ireland",67903,1979
"2020-11-16","Ireland",68356,1984
"2020-11-17","Ireland",68686,1995
"2020-11-18","Ireland",69058,2006
"2020-11-19","Ireland",69473,2010
"2020-11-20","Ireland",69802,2018
"2020-11-21","Ireland",70143,2022
"2020-11-22","Ireland",70461,2023
