"date","cases"
2020-02-27,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,471
2020-03-22,535
2020-03-23,659
2020-03-24,774
2020-03-25,922
2020-03-26,1070
2020-03-27,1233
2020-03-28,1393
2020-03-29,1487
2020-03-30,1645
2020-03-31,1838
2020-04-01,2077
2020-04-02,2251
2020-04-03,2490
2020-04-04,2692
2020-04-05,3061
2020-04-06,3268
2020-04-07,3557
2020-04-08,3873
2020-04-09,4156
2020-04-10,4514
2020-04-11,5006
2020-04-12,5438
2020-04-13,5850
2020-04-14,6337
2020-04-15,6567
2020-04-16,6934
2020-04-17,7379
2020-04-18,7666
2020-04-19,7781
2020-04-20,7905
2020-04-21,8216
2020-04-22,8729
2020-04-23,9010
2020-04-24,9224
2020-04-25,9532
2020-04-26,9624
2020-04-27,9751
2020-04-28,9967
2020-04-29,10170
2020-04-30,10277
2020-05-01,10406
2020-05-02,10561
2020-05-03,10670
2020-05-04,10734
2020-05-05,10840
2020-05-06,10885
2020-05-07,10948
2020-05-08,11068
2020-05-09,11175
2020-05-10,11235
2020-05-11,11242
2020-05-12,11308
2020-05-13,11557
2020-05-14,11557
2020-05-15,11666
2020-05-16,11693
2020-05-17,11759
2020-05-18,11733
2020-05-19,11765
2020-05-20,11794
2020-05-21,11830
2020-05-22,11873
2020-05-23,11876
2020-05-24,11894
2020-05-25,11961
2020-05-26,11996
2020-05-27,12023
2020-05-28,12031
2020-05-29,12042
2020-05-30,12052
2020-05-31,12090
2020-06-01,12093
2020-06-02,12109
2020-06-03,12118
2020-06-04,12127
2020-06-05,12139
2020-06-06,12158
2020-06-07,12159
2020-06-08,12163
2020-06-09,12167
2020-06-10,12172
2020-06-11,12179
2020-06-12,12210
2020-06-13,12213
2020-06-14,12228
2020-06-15,12235
2020-06-16,12239
2020-06-17,12248
2020-06-18,12257
2020-06-19,12263
2020-06-20,12267
2020-06-21,12238
2020-06-22,12218
2020-06-23,12218
2020-06-24,12226
2020-06-25,12226
2020-06-26,12226
2020-06-27,12245
2020-06-28,12250
2020-06-29,12254
2020-06-30,12254
2020-07-01,12262
2020-07-02,12264
2020-07-03,12270
2020-07-04,12270
2020-07-05,12255
2020-07-06,12263
2020-07-07,12266
2020-07-08,12275
2020-07-09,12287
2020-07-10,12294
2020-07-11,12308
2020-07-12,12312
2020-07-13,12326
2020-07-14,12331
2020-07-15,12342
2020-07-16,12367
2020-07-17,12379
2020-07-18,12385
2020-07-19,12390
2020-07-20,12411
2020-07-21,12422
2020-07-22,12424
2020-07-23,12439
2020-07-24,12450
2020-07-25,12459
2020-07-26,12464
2020-07-27,12480
2020-07-28,12487
2020-07-29,12505
2020-07-30,12520
2020-07-31,12524
2020-08-01,12549
2020-08-02,12551
2020-08-03,12559
2020-08-04,12564
2020-08-05,12569
2020-08-06,12574
2020-08-07,12601
2020-08-08,12617
2020-08-09,12624
2020-08-10,12625
2020-08-11,12636
2020-08-12,12660
2020-08-13,12675
2020-08-14,12731
2020-08-15,12747
2020-08-16,12760
2020-08-17,12809
2020-08-18,12824
2020-08-19,12871
2020-08-20,12913
2020-08-21,12968
2020-08-22,13007
2020-08-23,13077
2020-08-24,13095
2020-08-25,13187
2020-08-26,13220
2020-08-27,13272
2020-08-28,13330
2020-08-29,13352
2020-08-30,13380
2020-08-31,13483
2020-09-01,13535
2020-09-02,13587
2020-09-03,13611
2020-09-04,13744
2020-09-05,13812
2020-09-06,13868
2020-09-07,14048
2020-09-08,14098
2020-09-09,14206
2020-09-10,14326
2020-09-11,14400
2020-09-12,14556
2020-09-13,14665
2020-09-14,14883
2020-09-15,15008
2020-09-16,15124
2020-09-17,15239
2020-09-18,15405
2020-09-19,15646
2020-09-20,15717
2020-09-21,15882
2020-09-22,15980
2020-09-23,16142
2020-09-24,16294
2020-09-25,16398
2020-09-26,16608
2020-09-27,16815
2020-09-28,16960
2020-09-29,17149
2020-09-30,17315
2020-10-01,17496
2020-10-02,17720
2020-10-03,17821
2020-10-04,17951
2020-10-05,18061
2020-10-06,18278
2020-10-07,18368
2020-10-08,18491
2020-10-09,18732
2020-10-10,18956
2020-10-11,19205
2020-10-12,19391
2020-10-13,19625
2020-10-14,19913
2020-10-15,20145
2020-10-16,20424
2020-10-17,20832
2020-10-18,21066
2020-10-19,21269
2020-10-20,21523
2020-10-21,21766
2020-10-22,21948
2020-10-23,22138
2020-10-24,22396
2020-10-25,22645
2020-10-26,22872
2020-10-27,23065
2020-10-28,23305
2020-10-29,23535
2020-10-30,23622
2020-10-31,23790
2020-11-01,24109
2020-11-02,24198
2020-11-03,24343
2020-11-04,24459
2020-11-05,24633
2020-11-06,24705
2020-11-07,24884
2020-11-08,24960
2020-11-09,25042
2020-11-10,25094
2020-11-11,25220
2020-11-12,25347
2020-11-13,25496
2020-11-14,25618
2020-11-15,25707
2020-11-16,25792
2020-11-17,25894
2020-11-18,26064
2020-11-19,26164
2020-11-20,26289
2020-11-21,26415
2020-11-22,26502
2020-11-23,26563
2020-11-24,26625
2020-11-25,26744
2020-11-26,26808
2020-11-27,26899
2020-11-28,26991
2020-11-29,27088
