"","agegroup","popage","propage"
"1",1,331515,0.0696187313164065
"2",2,355561,0.0746684334814196
"3",3,319476,0.0670905202058437
"4",4,302816,0.0635918909922898
"5",5,273636,0.0574640398247325
"6",6,297435,0.0624618715566275
"7",7,361975,0.0760153847284625
"8",8,389421,0.0817790928554253
"9",9,357460,0.0750672268113439
"10",10,326110,0.0684836718386599
"11",11,299935,0.0629868759404141
"12",12,270102,0.0567218936278118
"13",13,238856,0.0501601788374933
"14",14,211236,0.0443599304054189
"15",15,162272,0.034077404546328
"16",16,264059,0.0554528530313228
