"","x"
"1",32.44772375
"2",28.24496796
"3",25.09042876
"4",22.68975388
"5",20.77233828
"6",19.20615492
"7",17.90314378
"8",16.802488015
"9",15.86075602
"10",15.046074855
"11",14.333657955
"12",13.70328553
"13",13.173004215
"14",12.64895891
"15",12.227461325
"16",11.79966474
"17",11.43419676
"18",11.123498585
"19",10.796832445
"20",10.53778607
"21",10.25962223
"22",10.019661825
"23",9.79859842
"24",9.593723445
"25",9.42084739
"26",9.225042975
"27",9.058686385
"28",8.90281763
"29",8.756523355
"30",8.634511725
"31",8.48897333
"32",8.365040505
"33",8.24879246
"34",8.139095375
"35",8.04936612
"36",7.93648804
"37",7.842790415
"38",7.753659565
"39",7.668749045
"40",7.600593865
"41",7.5102977
"42",7.43521362
"43",7.364066415
"44",7.296163195
"45",7.23106303
"46",7.16863994
"47",7.10867346
"48",7.051069105
"49",6.995637905
"50",6.942285375
"51",6.890633575
"52",6.8400841
"53",6.79177077
"54",6.74528415
"55",6.700340785
"56",6.656877685
"57",6.61476887
"58",6.57395135
"59",6.53439363
"60",6.49596973
"61",6.45849068
"62",6.42151555
"63",6.385894705
"64",6.351376185
"65",6.31770803
"66",6.284921735
"67",6.252922815
"68",6.22171127
"69",6.191192615
"70",6.16136685
"71",6.1320765
"72",6.102943625
"73",6.074724105
"74",6.047134485
"75",6.020111775
"76",5.993529995
"77",5.967452135
"78",5.9418467
"79",5.916619205
"80",5.89183264
"81",5.86732953
"82",5.84288941
"83",5.818984705
"84",5.795489435
"85",5.772309115
"86",5.74941225
"87",5.726767345
"88",5.704405895
"89",5.68226491
"90",5.660375885
"91",5.638644335
"92",5.61694428
"93",5.595559175
"94",5.574394535
"95",5.55338737
"96",5.532569175
"97",5.51187696
"98",5.491310725
"99",5.47087047
"100",5.450556195
"101",5.4303679
"102",5.410179605
"103",5.390148785
"104",5.37021245
"105",5.3503706
"106",5.330560245
"107",5.310844375
"108",5.291191495
"109",5.271601605
"110",5.25204321
"111",5.232547805
"112",5.213146885
"113",5.19371447
"114",5.174345045
"115",5.15497562
"116",5.135606195
"117",5.116268265
"118",5.096930335
"119",5.0776239
"120",5.058317465
"121",5.039042525
"122",5.019893565
"123",5.00065012
"124",4.98137518
"125",4.962068745
"126",4.94276231
"127",4.923455875
"128",4.90408645
"129",4.88474852
"130",4.8653476
"131",4.84600967
